tract_geoid,tract_name,county_geoid,county_name,county_full_name,school_total,school_age,acs_pov_score
37115010200,"Census Tract 102, Madison County, North Carolina",37115,Madison,Madison County,259,0.13,-0.8709927114699085
37117970100,"Census Tract 9701, Martin County, North Carolina",37117,Martin,Martin County,648,0.15,-0.5154689547657806
37135011400,"Census Tract 114, Orange County, North Carolina",37135,Orange,Orange County,205,0.05,-2.293087738286421
37135011800,"Census Tract 118, Orange County, North Carolina",37135,Orange,Orange County,338,0.12,-1.0487545898219728
37139960100,"Census Tract 9601, Pasquotank County, North Carolina",37139,Pasquotank,Pasquotank County,169,0.12,-1.0487545898219728
37085071303,"Census Tract 713.03, Harnett County, North Carolina",37085,Harnett,Harnett County,2315,0.23,0.9066260720507321
37089930300,"Census Tract 9303, Henderson County, North Carolina",37089,Henderson,Henderson County,1333,0.18,0.017816680290411512
37089930900,"Census Tract 9309, Henderson County, North Carolina",37089,Henderson,Henderson County,349,0.13,-0.8709927114699085
37091950100,"Census Tract 9501, Hertford County, North Carolina",37091,Hertford,Hertford County,1280,0.18,0.017816680290411512
37093970402,"Census Tract 9704.02, Hoke County, North Carolina",37093,Hoke,Hoke County,778,0.25,1.26214982875486
37095920100,"Census Tract 9201, Hyde County, North Carolina",37095,Hyde,Hyde County,1074,0.2,0.37334043699453995
37081010403,"Census Tract 104.03, Guilford County, North Carolina",37081,Guilford,Guilford County,242,0.16,-0.3377070764137164
37081010900,"Census Tract 109, Guilford County, North Carolina",37081,Guilford,Guilford County,97,0.05,-2.293087738286421
37081011500,"Census Tract 115, Guilford County, North Carolina",37081,Guilford,Guilford County,392,0.17,-0.1599451980616522
37081012604,"Census Tract 126.04, Guilford County, North Carolina",37081,Guilford,Guilford County,820,0.19,0.19557855864247572
37081012610,"Census Tract 126.10, Guilford County, North Carolina",37081,Guilford,Guilford County,616,0.18,0.017816680290411512
37081012707,"Census Tract 127.07, Guilford County, North Carolina",37081,Guilford,Guilford County,735,0.27,1.6176735854589883
37183053719,"Census Tract 537.19, Wake County, North Carolina",37183,Wake,Wake County,962,0.24,1.0843879504027958
37183054110,"Census Tract 541.10, Wake County, North Carolina",37183,Wake,Wake County,2356,0.25,1.26214982875486
37049960600,"Census Tract 9606, Craven County, North Carolina",37049,Craven,Craven County,1529,0.27,1.6176735854589883
37017950100,"Census Tract 9501, Bladen County, North Carolina",37017,Bladen,Bladen County,961,0.19,0.19557855864247572
37017950600,"Census Tract 9506, Bladen County, North Carolina",37017,Bladen,Bladen County,1054,0.18,0.017816680290411512
37077970400,"Census Tract 9704, Granville County, North Carolina",37077,Granville,Granville County,669,0.18,0.017816680290411512
37079950300,"Census Tract 9503, Greene County, North Carolina",37079,Greene,Greene County,1106,0.17,-0.1599451980616522
37159051204,"Census Tract 512.04, Rowan County, North Carolina",37159,Rowan,Rowan County,885,0.24,1.0843879504027958
37067003805,"Census Tract 38.05, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,879,0.15,-0.5154689547657806
37067004011,"Census Tract 40.11, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,1018,0.19,0.19557855864247572
37035010303,"Census Tract 103.03, Catawba County, North Carolina",37035,Catawba,Catawba County,822,0.19,0.19557855864247572
37151031504,"Census Tract 315.04, Randolph County, North Carolina",37151,Randolph,Randolph County,863,0.18,0.017816680290411512
37197050300,"Census Tract 503, Yadkin County, North Carolina",37197,Yadkin,Yadkin County,942,0.16,-0.3377070764137164
37129011605,"Census Tract 116.05, New Hanover County, North Carolina",37129,New Hanover,New Hanover County,913,0.17,-0.1599451980616522
37071030102,"Census Tract 301.02, Gaston County, North Carolina",37071,Gaston,Gaston County,696,0.18,0.017816680290411512
37071030602,"Census Tract 306.02, Gaston County, North Carolina",37071,Gaston,Gaston County,376,0.16,-0.3377070764137164
37071031004,"Census Tract 310.04, Gaston County, North Carolina",37071,Gaston,Gaston County,399,0.15,-0.5154689547657806
37071032702,"Census Tract 327.02, Gaston County, North Carolina",37071,Gaston,Gaston County,358,0.16,-0.3377070764137164
37073970100,"Census Tract 9701, Gates County, North Carolina",37073,Gates,Gates County,658,0.16,-0.3377070764137164
37075920300,"Census Tract 9203, Graham County, North Carolina",37075,Graham,Graham County,779,0.22,0.7288641936986678
37081014412,"Census Tract 144.12, Guilford County, North Carolina",37081,Guilford,Guilford County,489,0.18,0.017816680290411512
37081015707,"Census Tract 157.07, Guilford County, North Carolina",37081,Guilford,Guilford County,889,0.14,-0.6932308331178443
37155961000,"Census Tract 9610, Robeson County, North Carolina",37155,Robeson,Robeson County,365,0.18,0.017816680290411512
37157040400,"Census Tract 404, Rockingham County, North Carolina",37157,Rockingham,Rockingham County,852,0.14,-0.6932308331178443
37157041200,"Census Tract 412, Rockingham County, North Carolina",37157,Rockingham,Rockingham County,818,0.17,-0.1599451980616522
37159050300,"Census Tract 503, Rowan County, North Carolina",37159,Rowan,Rowan County,709,0.21,0.5511023153466037
37025041902,"Census Tract 419.02, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,995,0.25,1.26214982875486
37025042101,"Census Tract 421.01, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,628,0.21,0.5511023153466037
37025042602,"Census Tract 426.02, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,1023,0.26,1.4399117071069243
37027031403,"Census Tract 314.03, Caldwell County, North Carolina",37027,Caldwell,Caldwell County,546,0.23,0.9066260720507321
37031970304,"Census Tract 9703.04, Carteret County, North Carolina",37031,Carteret,Carteret County,201,0.1,-1.4042783465261006
37031970504,"Census Tract 9705.04, Carteret County, North Carolina",37031,Carteret,Carteret County,304,0.18,0.017816680290411512
37031970902,"Census Tract 9709.02, Carteret County, North Carolina",37031,Carteret,Carteret County,186,0.14,-0.6932308331178443
37031990100,"Census Tract 9901, Carteret County, North Carolina",37031,Carteret,Carteret County,0,0,-3.181897130046741
37119005710,"Census Tract 57.10, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,806,0.18,0.017816680290411512
37133000103,"Census Tract 1.03, Onslow County, North Carolina",37133,Onslow,Onslow County,884,0.17,-0.1599451980616522
37133000402,"Census Tract 4.02, Onslow County, North Carolina",37133,Onslow,Onslow County,1134,0.16,-0.3377070764137164
37133001700,"Census Tract 17, Onslow County, North Carolina",37133,Onslow,Onslow County,344,0.16,-0.3377070764137164
37133002202,"Census Tract 22.02, Onslow County, North Carolina",37133,Onslow,Onslow County,897,0.22,0.7288641936986678
37163970900,"Census Tract 9709, Sampson County, North Carolina",37163,Sampson,Sampson County,934,0.27,1.6176735854589883
37167931201,"Census Tract 9312.01, Stanly County, North Carolina",37167,Stanly,Stanly County,1140,0.2,0.37334043699453995
37169070503,"Census Tract 705.03, Stokes County, North Carolina",37169,Stokes,Stokes County,987,0.17,-0.1599451980616522
37171930901,"Census Tract 9309.01, Surry County, North Carolina",37171,Surry,Surry County,680,0.16,-0.3377070764137164
37173960301,"Census Tract 9603.01, Swain County, North Carolina",37173,Swain,Swain County,432,0.14,-0.6932308331178443
37177960100,"Census Tract 9601, Tyrrell County, North Carolina",37177,Tyrrell,Tyrrell County,464,0.11,-1.2265164681740368
37119005308,"Census Tract 53.08, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,486,0.21,0.5511023153466037
37119005621,"Census Tract 56.21, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,830,0.2,0.37334043699453995
37001021702,"Census Tract 217.02, Alamance County, North Carolina",37001,Alamance,Alamance County,828,0.13,-0.8709927114699085
37003040700,"Census Tract 407, Alexander County, North Carolina",37003,Alexander,Alexander County,1179,0.18,0.017816680290411512
37013930300,"Census Tract 9303, Beaufort County, North Carolina",37013,Beaufort,Beaufort County,937,0.26,1.4399117071069243
37037020105,"Census Tract 201.05, Chatham County, North Carolina",37037,Chatham,Chatham County,876,0.19,0.19557855864247572
37037020600,"Census Tract 206, Chatham County, North Carolina",37037,Chatham,Chatham County,961,0.18,0.017816680290411512
37039930300,"Census Tract 9303, Cherokee County, North Carolina",37039,Cherokee,Cherokee County,474,0.18,0.017816680290411512
37063002018,"Census Tract 20.18, Durham County, North Carolina",37063,Durham,Durham County,1071,0.12,-1.0487545898219728
37063002022,"Census Tract 20.22, Durham County, North Carolina",37063,Durham,Durham County,692,0.15,-0.5154689547657806
37065021000,"Census Tract 210, Edgecombe County, North Carolina",37065,Edgecombe,Edgecombe County,368,0.13,-0.8709927114699085
