tract_geoid,tract_name,county_geoid,county_name,county_full_name,white_alone_total,white_alone_pct,white_alone_score
37167931201,"Census Tract 9312.01, Stanly County, North Carolina",37167,Stanly,Stanly County,3438,0.58,0.42026610159746786
37169070503,"Census Tract 705.03, Stokes County, North Carolina",37169,Stokes,Stokes County,5590,0.9,-0.8893830100354575
37171930901,"Census Tract 9309.01, Surry County, North Carolina",37171,Surry,Surry County,3788,0.87,-0.7666034058198706
37173960301,"Census Tract 9603.01, Swain County, North Carolina",37173,Swain,Swain County,2867,0.92,-0.9712360795125154
37177960100,"Census Tract 9601, Tyrrell County, North Carolina",37177,Tyrrell,Tyrrell County,2251,0.55,0.5430457058130542
37119005308,"Census Tract 53.08, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,868,0.33,1.4434294700606904
37119005621,"Census Tract 56.21, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,2264,0.52,0.6658253100286411
37001021702,"Census Tract 217.02, Alamance County, North Carolina",37001,Alamance,Alamance County,5551,0.87,-0.7666034058198706
37003040700,"Census Tract 407, Alexander County, North Carolina",37003,Alexander,Alexander County,6360,0.96,-1.1349422184666307
37013930300,"Census Tract 9303, Beaufort County, North Carolina",37013,Beaufort,Beaufort County,2160,0.55,0.5430457058130542
37037020105,"Census Tract 201.05, Chatham County, North Carolina",37037,Chatham,Chatham County,4172,0.88,-0.8075299405583997
37037020600,"Census Tract 206, Chatham County, North Carolina",37037,Chatham,Chatham County,4337,0.76,-0.31641152369605274
